date,pb_winners,pp_winners,states,total_winners
10/28/2017,555,458,Vermont,1013
10/28/2017,0,0,Virgin Islands,0
10/28/2017,10228,2896,Virginia,13124
10/28/2017,5091,907,Washington,5998
10/28/2017,3484,777,West Virginia,4261
10/28/2017,8123,1920,Wisconsin,10043
10/28/2017,698,487,Wyoming,1185
10/25/2017,13818,2292,Arizona,16110
10/25/2017,2123,1905,Arkansas,4028
10/25/2017,85789,0,California,85789
10/25/2017,6357,4988,Colorado,11345
10/25/2017,7917,3729,Connecticut,11646
10/25/2017,2927,480,Delaware,3407
10/25/2017,1487,274,Dist. of Columbia,1761
10/25/2017,46402,13422,Florida,59824
10/25/2017,19028,2471,Georgia,21499
10/25/2017,3768,1047,Idaho,4815
10/25/2017,18884,3522,Illinois,22406
10/25/2017,11429,2502,Indiana,13931
10/25/2017,5348,2086,Iowa,7434
10/25/2017,5135,640,Kansas,5775
10/25/2017,9780,1600,Kentucky,11380
10/25/2017,9799,3207,Louisiana,13006
10/25/2017,1465,1339,Maine,2804
10/25/2017,12873,1939,Maryland,14812
10/25/2017,16634,2002,Massachusetts,18636
10/25/2017,19525,2330,Michigan,21855
10/25/2017,10103,835,Minnesota,10938
10/25/2017,13860,1183,Missouri,15043
10/25/2017,1205,627,Montana,1832
10/25/2017,4882,852,Nebraska,5734
10/25/2017,4004,694,New Hampshire,4698
10/25/2017,31539,3716,New Jersey,35255
10/25/2017,3016,1108,New Mexico,4124
10/25/2017,55069,4609,New York,59678
10/25/2017,16645,6112,North Carolina,22757
10/25/2017,774,857,North Dakota,1631
10/25/2017,15690,4038,Ohio,19728
10/25/2017,3232,2724,Oklahoma,5956
10/25/2017,9751,1755,Oregon,11506
10/25/2017,27894,8371,Pennsylvania,36265
10/25/2017,2,0,Puerto Rico,2
10/25/2017,2975,943,Rhode Island,3918
10/25/2017,6199,4693,South Carolina,10892
10/25/2017,1513,540,South Dakota,2053
10/25/2017,10100,4528,Tennessee,14628
10/25/2017,32197,13427,Texas,45624
10/25/2017,685,540,Vermont,1225
10/25/2017,0,0,Virgin Islands,0
10/25/2017,14981,3502,Virginia,18483
10/25/2017,9560,1549,Washington,11109
10/25/2017,4144,826,West Virginia,4970
10/25/2017,11271,2123,Wisconsin,13394
10/25/2017,840,629,Wyoming,1469
10/21/2017,13475,2400,Arizona,15875
10/21/2017,2296,2074,Arkansas,4370
10/21/2017,74101,0,California,74101
10/21/2017,6206,5271,Colorado,11477
10/21/2017,8105,4140,Connecticut,12245
10/21/2017,3048,553,Delaware,3601
10/21/2017,1364,300,Dist. of Columbia,1664
10/21/2017,51071,14505,Florida,65576
10/21/2017,20165,2537,Georgia,22702
10/21/2017,3655,1095,Idaho,4750
10/21/2017,18877,3520,Illinois,22397
10/21/2017,12493,2737,Indiana,15230
10/21/2017,5378,2252,Iowa,7630
10/21/2017,5151,698,Kansas,5849
10/21/2017,10278,1639,Kentucky,11917
10/21/2017,10396,3461,Louisiana,13857
10/21/2017,1674,1629,Maine,3303
10/21/2017,13785,1966,Maryland,15751
10/21/2017,16381,2132,Massachusetts,18513
10/21/2017,19774,2321,Michigan,22095
10/21/2017,9945,938,Minnesota,10883
10/21/2017,14339,1248,Missouri,15587
10/21/2017,1155,621,Montana,1776
10/21/2017,4873,885,Nebraska,5758
10/21/2017,4650,815,New Hampshire,5465
10/21/2017,31137,3944,New Jersey,35081
10/21/2017,2976,1161,New Mexico,4137
10/21/2017,56791,5111,New York,61902
10/21/2017,17518,6332,North Carolina,23850
10/21/2017,815,853,North Dakota,1668
10/21/2017,15315,4136,Ohio,19451
10/21/2017,3318,2911,Oklahoma,6229
10/21/2017,8985,1795,Oregon,10780
10/21/2017,28654,8830,Pennsylvania,37484
10/21/2017,3,2,Puerto Rico,5
10/21/2017,3191,989,Rhode Island,4180
10/21/2017,6604,5353,South Carolina,11957
10/21/2017,1458,559,South Dakota,2017
10/21/2017,10965,5127,Tennessee,16092
10/21/2017,33798,14290,Texas,48088
10/21/2017,757,699,Vermont,1456
10/21/2017,0,0,Virgin Islands,0
10/21/2017,15715,3764,Virginia,19479
10/21/2017,8864,1453,Washington,10317
10/21/2017,4452,853,West Virginia,5305
10/21/2017,11523,2308,Wisconsin,13831
10/21/2017,764,581,Wyoming,1345
10/18/2017,12627,2208,Arizona,14835
10/18/2017,1993,1772,Arkansas,3765
10/18/2017,72584,0,California,72584
10/18/2017,5784,4652,Colorado,10436
10/18/2017,7052,3505,Connecticut,10557
10/18/2017,2558,486,Delaware,3044
10/18/2017,1263,249,Dist. of Columbia,1512
10/18/2017,42283,12641,Florida,54924
10/18/2017,17477,2466,Georgia,19943
10/18/2017,3538,974,Idaho,4512
10/18/2017,17269,3267,Illinois,20536
10/18/2017,10294,2432,Indiana,12726
10/18/2017,4938,2021,Iowa,6959
10/18/2017,4686,623,Kansas,5309
10/18/2017,8907,1599,Kentucky,10506
10/18/2017,9352,3180,Louisiana,12532
10/18/2017,1323,1268,Maine,2591
10/18/2017,11542,1789,Maryland,13331
10/18/2017,14162,1795,Massachusetts,15957
10/18/2017,17460,2211,Michigan,19671
10/18/2017,9201,864,Minnesota,10065
10/18/2017,12827,1117,Missouri,13944
10/18/2017,1087,619,Montana,1706
10/18/2017,4544,790,Nebraska,5334
10/18/2017,3720,699,New Hampshire,4419
10/18/2017,26801,3444,New Jersey,30245
10/18/2017,2603,1034,New Mexico,3637
10/18/2017,48405,4523,New York,52928
10/18/2017,14115,5590,North Carolina,19705
10/18/2017,675,837,North Dakota,1512
10/18/2017,14133,3765,Ohio,17898
10/18/2017,3018,2496,Oklahoma,5514
10/18/2017,8565,1608,Oregon,10173
10/18/2017,24229,7628,Pennsylvania,31857
10/18/2017,2,3,Puerto Rico,5
10/18/2017,2739,900,Rhode Island,3639
10/18/2017,5887,4735,South Carolina,10622
10/18/2017,1380,513,South Dakota,1893
10/18/2017,8984,4365,Tennessee,13349
10/18/2017,28639,12291,Texas,40930
10/18/2017,663,528,Vermont,1191
10/18/2017,0,0,Virgin Islands,0
10/18/2017,13349,3280,Virginia,16629
10/18/2017,8751,1422,Washington,10173
10/18/2017,3822,854,West Virginia,4676
10/18/2017,10063,2074,Wisconsin,12137
10/18/2017,795,565,Wyoming,1360
10/14/2017,13449,2485,Arizona,15934
10/14/2017,2277,2142,Arkansas,4419
10/14/2017,69521,0,California,69521
10/14/2017,6216,5266,Colorado,11482
10/14/2017,7885,4024,Connecticut,11909
10/14/2017,3053,552,Delaware,3605
10/14/2017,1394,314,Dist. of Columbia,1708
10/14/2017,52146,15573,Florida,67719
10/14/2017,18768,2579,Georgia,21347
10/14/2017,3562,1091,Idaho,4653
10/14/2017,17393,3374,Illinois,20767
10/14/2017,12147,3010,Indiana,15157
10/14/2017,5469,2435,Iowa,7904
10/14/2017,4965,676,Kansas,5641
10/14/2017,9998,1753,Kentucky,11751
10/14/2017,10057,3524,Louisiana,13581
10/14/2017,1595,1615,Maine,3210
10/14/2017,13574,2017,Maryland,15591
10/14/2017,15004,2046,Massachusetts,17050
10/14/2017,18875,2400,Michigan,21275
10/14/2017,9503,859,Minnesota,10362
10/14/2017,13882,1297,Missouri,15179
10/14/2017,1134,751,Montana,1885
10/14/2017,4828,925,Nebraska,5753
10/14/2017,4419,816,New Hampshire,5235
10/14/2017,25434,3572,New Jersey,29006
